运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级
WLYD1565826,杭州浦东新区,南京南山区,张丽,EMP_033,陈敏贸易公司,顺丰速运,服装,零担,4015kg,5.24m³,1624元,2419元,2026-01-27 09:49,2025-06-05 21:07,2026-01-27 09:49,2026-06-08 09:37,已退回,刘丽,844km,余杭网点,朝阳网点,运费异常,低
WLYD3222745,深圳朝阳区,广州余杭区,赵秀英,EMP_014,王洋贸易公司,顺丰速运,食品,整车,2627kg,1.93m³,4812元,3721元,2026-09-19 00:13,2025-10-02 11:07,2026-09-19 00:13,2026-11-11 12:51,派送中,刘芳,841km,浦东网点,天河网点,路线异常,高
WLYD8919680,上海天河区,北京浦东新区,黄秀英,EMP_016,周娜贸易公司,顺丰速运,化工品,合同物流,1318kg,7.59m³,684元,260元,2025-08-04 05:48,2025-05-01 20:34,2025-08-04 05:48,2026-12-13 19:36,派送中,王洋,939km,余杭网点,朝阳网点,重量异常,高
WLYD9129312,杭州浦东新区,广州朝阳区,吴娜,EMP_051,杨静贸易公司,顺丰速运,食品,整车,306kg,7.15m³,2411元,1301元,2025-06-20 08:08,2025-11-01 11:22,2025-06-20 08:08,2026-03-04 08:55,已退回,陈静,929km,浦东网点,南山网点,重量异常,高
WLYD1884274,上海浦东新区,广州余杭区,周磊,EMP_008,赵洋贸易公司,顺丰速运,服装,合同物流,2052kg,2.71m³,1332元,3501元,2026-05-28 07:36,2026-05-17 00:40,2026-05-28 07:36,2026-12-10 01:00,已签收,杨敏,400km,南山网点,余杭网点,重量异常,高
WLYD9175946,上海南山区,深圳天河区,黄洋,EMP_079,王敏贸易公司,顺丰速运,建材,零担,829kg,7.33m³,1626元,156元,2026-01-14 08:37,2025-02-28 04:35,2026-01-14 08:37,2025-12-18 02:32,已退回,赵强,1722km,余杭网点,天河网点,包装破损,中
WLYD6350827,广州朝阳区,杭州朝阳区,刘芳,EMP_056,陈芳贸易公司,顺丰速运,化工品,合同物流,4069kg,3.59m³,3870元,2752元,2025-02-24 20:43,2025-03-18 15:05,2025-02-24 20:43,2026-03-27 23:09,派送中,周敏,399km,天河网点,余杭网点,超时派送,低
WLYD1480944,南京南山区,北京天河区,刘磊,EMP_085,李静贸易公司,顺丰速运,服装,合同物流,1578kg,5.93m³,1703元,1623元,2025-08-07 11:14,2025-07-09 21:54,2025-08-07 11:14,2026-07-12 18:32,已签收,周秀英,1484km,鼓楼网点,朝阳网点,运费异常,中
WLYD2666916,广州南山区,深圳余杭区,赵丽,EMP_047,黄娜贸易公司,顺丰速运,建材,零担,4302kg,3.02m³,4471元,4779元,2025-12-17 09:10,2026-11-11 13:44,2025-12-17 09:10,2025-03-10 19:51,派送中,杨丽,1908km,朝阳网点,鼓楼网点,重量异常,高
WLYD3838572,北京余杭区,深圳南山区,周芳,EMP_042,周秀英贸易公司,顺丰速运,服装,整车,3961kg,3.99m³,4687元,4749元,2026-03-04 16:01,2025-06-24 01:55,2026-03-04 16:01,2026-02-17 11:41,已签收,陈秀英,205km,鼓楼网点,鼓楼网点,运费异常,高
WLYD1883486,广州南山区,上海天河区,吴伟,EMP_081,黄敏贸易公司,顺丰速运,化工品,合同物流,4698kg,5.33m³,1492元,318元,2025-09-24 08:10,2026-04-12 18:21,2025-09-24 08:10,2026-04-27 10:40,已退回,王静,209km,天河网点,浦东网点,路线异常,高
WLYD7387299,深圳天河区,广州余杭区,杨芳,EMP_087,陈芳贸易公司,顺丰速运,电子产品,合同物流,447kg,6.18m³,682元,3993元,2025-02-10 15:29,2025-09-15 19:06,2025-02-10 15:29,2026-10-07 17:51,派送中,黄娜,559km,南山网点,鼓楼网点,路线异常,低
WLYD3939288,北京天河区,南京朝阳区,杨娜,EMP_100,陈敏贸易公司,顺丰速运,化工品,合同物流,1166kg,1.64m³,2496元,1443元,2026-05-24 22:41,2025-08-21 21:16,2026-05-24 22:41,2026-03-07 05:26,已签收,杨洋,908km,余杭网点,鼓楼网点,包装破损,中
WLYD9172396,上海天河区,北京南山区,周伟,EMP_068,张洋贸易公司,顺丰速运,化工品,零担,1613kg,5.40m³,3982元,4216元,2025-02-19 18:08,2025-11-16 22:49,2025-02-19 18:08,2025-01-06 23:36,已签收,黄磊,1870km,南山网点,南山网点,运费异常,中
WLYD8402004,上海朝阳区,南京南山区,张伟,EMP_060,黄磊贸易公司,顺丰速运,化工品,整车,3288kg,0.94m³,3072元,3928元,2026-07-07 12:00,2025-09-27 20:48,2026-07-07 12:00,2025-02-14 01:20,派送中,刘伟,547km,朝阳网点,鼓楼网点,重量异常,低
WLYD7701900,深圳朝阳区,广州天河区,刘娜,EMP_088,李芳贸易公司,顺丰速运,服装,整车,707kg,5.38m³,3706元,1678元,2026-10-15 19:51,2025-06-02 11:00,2026-10-15 19:51,2026-06-26 14:44,已退回,杨娜,647km,鼓楼网点,浦东网点,超时派送,高
WLYD4026024,北京天河区,南京天河区,李秀英,EMP_051,陈洋贸易公司,顺丰速运,化工品,整车,1282kg,2.37m³,4381元,2237元,2025-01-22 04:41,2025-07-24 06:52,2025-01-22 04:41,2026-10-06 16:35,已退回,黄丽,1505km,朝阳网点,浦东网点,未及时签收,低
WLYD1308647,广州南山区,杭州天河区,张娜,EMP_061,周静贸易公司,顺丰速运,建材,整车,1679kg,8.67m³,4202元,228元,2025-08-16 04:24,2025-10-16 06:47,2025-08-16 04:24,2026-09-20 16:41,已签收,李敏,1696km,余杭网点,南山网点,货物损坏,低
WLYD6150165,北京天河区,南京天河区,陈磊,EMP_069,吴伟贸易公司,顺丰速运,建材,整车,395kg,7.69m³,2473元,687元,2026-08-19 05:20,2025-08-16 15:50,2026-08-19 05:20,2026-09-18 08:12,派送中,周丽,1532km,南山网点,南山网点,包装破损,高
WLYD7077432,深圳天河区,上海朝阳区,陈敏,EMP_044,陈娜贸易公司,顺丰速运,建材,合同物流,4364kg,7.02m³,1151元,2763元,2026-03-04 23:18,2025-01-06 00:24,2026-03-04 23:18,2026-03-12 00:28,派送中,周强,1922km,天河网点,朝阳网点,运费异常,中
WLYD7885966,南京鼓楼区,杭州朝阳区,杨静,EMP_040,周静贸易公司,顺丰速运,服装,合同物流,1929kg,5.06m³,4150元,589元,2025-03-08 23:15,2025-10-22 18:48,2025-03-08 23:15,2026-05-22 15:57,已退回,赵磊,967km,鼓楼网点,浦东网点,重量异常,低
WLYD6504112,北京鼓楼区,杭州余杭区,张丽,EMP_090,赵伟贸易公司,顺丰速运,服装,整车,1937kg,4.50m³,3303元,607元,2025-05-27 12:25,2025-08-01 08:54,2025-05-27 12:25,2025-04-08 01:07,派送中,王伟,628km,朝阳网点,南山网点,路线异常,高
WLYD7356072,广州朝阳区,深圳天河区,赵磊,EMP_079,王磊贸易公司,顺丰速运,食品,零担,4808kg,6.59m³,2529元,3892元,2025-09-08 08:52,2025-06-16 20:14,2025-09-08 08:52,2025-03-05 10:29,已签收,周敏,599km,浦东网点,鼓楼网点,重量异常,中
WLYD4848256,广州天河区,上海朝阳区,李芳,EMP_076,王娜贸易公司,顺丰速运,建材,合同物流,1528kg,6.55m³,4356元,1672元,2025-01-28 00:14,2025-07-09 18:08,2025-01-28 00:14,2025-07-04 21:22,已签收,王磊,838km,浦东网点,天河网点,虚假签收,高
WLYD2985376,广州天河区,上海鼓楼区,刘芳,EMP_037,吴娜贸易公司,顺丰速运,化工品,整车,323kg,4.76m³,1757元,4680元,2026-11-24 08:30,2026-11-08 19:13,2026-11-24 08:30,2026-03-28 04:15,已退回,李娜,1621km,南山网点,南山网点,运费异常,高
WLYD2322707,深圳南山区,北京朝阳区,张敏,EMP_050,杨强贸易公司,顺丰速运,食品,整车,1356kg,7.61m³,488元,803元,2026-08-26 19:21,2025-07-02 01:38,2026-08-26 19:21,2026-10-27 21:33,已签收,周静,962km,天河网点,余杭网点,重量异常,中
WLYD5307401,南京朝阳区,南京天河区,周伟,EMP_081,王伟贸易公司,顺丰速运,服装,整车,2267kg,2.18m³,3400元,3420元,2025-02-15 00:37,2025-09-13 15:31,2025-02-15 00:37,2025-06-10 07:57,派送中,李静,1062km,浦东网点,天河网点,未及时签收,中
WLYD8793421,北京余杭区,南京南山区,杨静,EMP_047,张芳贸易公司,顺丰速运,服装,合同物流,1149kg,1.58m³,4769元,4067元,2025-11-17 20:27,2026-04-28 16:21,2025-11-17 20:27,2026-12-18 13:40,已退回,周秀英,932km,南山网点,浦东网点,包装破损,高
WLYD4310566,广州天河区,上海余杭区,杨静,EMP_081,周秀英贸易公司,顺丰速运,食品,合同物流,2157kg,0.45m³,210元,4640元,2026-08-08 02:40,2025-02-02 16:22,2026-08-08 02:40,2026-11-08 15:15,已签收,李磊,197km,鼓楼网点,南山网点,包装破损,中
WLYD9122304,广州南山区,广州南山区,杨敏,EMP_056,赵芳贸易公司,顺丰速运,建材,整车,27kg,5.00m³,2340元,3555元,2025-05-23 20:33,2025-11-13 02:42,2025-05-23 20:33,2025-06-15 05:23,派送中,刘芳,551km,朝阳网点,余杭网点,包装破损,高
WLYD9279563,南京余杭区,杭州鼓楼区,周伟,EMP_034,杨静贸易公司,顺丰速运,电子产品,零担,320kg,2.14m³,542元,1832元,2026-01-15 10:47,2026-08-28 03:28,2026-01-15 10:47,2026-06-06 15:12,已退回,杨芳,1737km,鼓楼网点,浦东网点,未及时签收,高
WLYD7360100,杭州朝阳区,杭州南山区,李磊,EMP_095,张秀英贸易公司,顺丰速运,食品,合同物流,3659kg,9.18m³,1451元,3985元,2025-02-11 08:32,2026-10-06 21:52,2025-02-11 08:32,2026-12-25 22:32,已签收,杨洋,944km,南山网点,南山网点,货物损坏,高
WLYD2844065,南京余杭区,北京余杭区,陈强,EMP_094,黄强贸易公司,顺丰速运,服装,合同物流,4218kg,4.57m³,344元,636元,2025-05-04 21:38,2025-04-27 10:28,2025-05-04 21:38,2026-04-07 21:52,派送中,周静,1883km,余杭网点,南山网点,重量异常,中
WLYD7681515,上海余杭区,上海南山区,陈敏,EMP_087,杨伟贸易公司,顺丰速运,电子产品,合同物流,1996kg,0.79m³,1819元,2446元,2026-11-03 09:36,2025-02-24 12:36,2026-11-03 09:36,2025-05-17 04:14,派送中,赵磊,70km,余杭网点,南山网点,运费异常,低
WLYD9989687,杭州朝阳区,广州鼓楼区,吴静,EMP_030,黄敏贸易公司,顺丰速运,化工品,合同物流,4335kg,2.50m³,3440元,3727元,2026-08-12 22:19,2026-06-09 12:14,2026-08-12 22:19,2025-08-05 06:25,已退回,王娜,915km,南山网点,朝阳网点,路线异常,中
WLYD6237420,广州南山区,深圳浦东新区,周磊,EMP_011,吴洋贸易公司,顺丰速运,服装,合同物流,2333kg,2.10m³,4183元,3442元,2025-01-12 14:26,2025-09-23 05:43,2025-01-12 14:26,2026-02-17 22:54,派送中,张秀英,1154km,鼓楼网点,余杭网点,重量异常,中
WLYD3601388,深圳鼓楼区,广州南山区,杨敏,EMP_057,张敏贸易公司,顺丰速运,建材,零担,4832kg,5.07m³,2590元,3361元,2025-06-13 16:01,2025-06-02 14:38,2025-06-13 16:01,2026-12-22 09:53,派送中,吴静,493km,朝阳网点,鼓楼网点,运费异常,高
WLYD4503931,南京天河区,上海鼓楼区,黄芳,EMP_027,周静贸易公司,顺丰速运,化工品,整车,4481kg,8.15m³,4679元,174元,2026-10-03 17:46,2025-09-10 22:42,2026-10-03 17:46,2025-10-21 09:18,派送中,周丽,575km,天河网点,鼓楼网点,运费异常,高
WLYD7400798,北京天河区,杭州鼓楼区,李娜,EMP_005,李丽贸易公司,顺丰速运,建材,合同物流,2753kg,3.19m³,4717元,1875元,2025-04-17 22:58,2025-08-05 08:07,2025-04-17 22:58,2025-06-27 11:14,已签收,周静,1015km,浦东网点,余杭网点,路线异常,中
WLYD3172408,广州南山区,广州鼓楼区,陈芳,EMP_049,李伟贸易公司,顺丰速运,建材,零担,1697kg,3.11m³,3650元,4207元,2026-08-22 22:08,2026-07-06 03:29,2026-08-22 22:08,2025-07-12 03:47,已退回,刘秀英,919km,余杭网点,鼓楼网点,超时派送,高
WLYD6242386,广州朝阳区,南京余杭区,陈伟,EMP_066,黄芳贸易公司,顺丰速运,化工品,合同物流,4851kg,8.65m³,1323元,4091元,2026-10-16 08:00,2025-06-11 20:47,2026-10-16 08:00,2026-06-06 23:48,已退回,刘芳,818km,天河网点,余杭网点,虚假签收,高
WLYD3405755,上海鼓楼区,深圳余杭区,黄娜,EMP_056,张强贸易公司,顺丰速运,化工品,合同物流,3020kg,6.37m³,291元,3256元,2025-05-03 19:39,2026-11-05 08:12,2025-05-03 19:39,2025-07-21 19:22,已签收,陈娜,190km,朝阳网点,鼓楼网点,货物损坏,低
WLYD9568408,杭州余杭区,深圳朝阳区,张洋,EMP_050,周丽贸易公司,顺丰速运,化工品,零担,1064kg,7.93m³,3502元,3430元,2026-04-02 05:43,2025-11-06 16:58,2026-04-02 05:43,2026-06-06 09:57,已签收,张秀英,950km,鼓楼网点,余杭网点,包装破损,高
WLYD4418563,南京天河区,广州天河区,周洋,EMP_042,陈洋贸易公司,顺丰速运,化工品,零担,3421kg,0.98m³,369元,2468元,2025-06-13 17:11,2026-09-25 07:51,2025-06-13 17:11,2025-02-27 18:45,已签收,李强,1234km,浦东网点,鼓楼网点,包装破损,低
WLYD8364049,广州鼓楼区,南京天河区,李秀英,EMP_097,陈芳贸易公司,顺丰速运,服装,合同物流,1549kg,5.22m³,3833元,339元,2026-02-01 00:30,2026-01-26 00:17,2026-02-01 00:30,2025-11-24 12:02,派送中,刘芳,1764km,朝阳网点,天河网点,货物损坏,中
WLYD7924613,上海余杭区,南京南山区,吴芳,EMP_012,李洋贸易公司,顺丰速运,建材,整车,3105kg,5.98m³,1695元,2335元,2026-06-11 11:46,2026-08-19 04:23,2026-06-11 11:46,2026-12-11 23:09,已退回,杨伟,580km,浦东网点,南山网点,路线异常,中
WLYD1252219,上海浦东新区,杭州鼓楼区,张强,EMP_078,周丽贸易公司,顺丰速运,电子产品,整车,4593kg,0.99m³,3920元,2985元,2025-12-26 02:47,2025-02-12 22:27,2025-12-26 02:47,2026-06-26 15:35,已签收,周丽,1657km,浦东网点,鼓楼网点,重量异常,低
WLYD9027375,杭州余杭区,深圳南山区,周敏,EMP_047,李洋贸易公司,顺丰速运,电子产品,零担,4429kg,2.58m³,1572元,811元,2026-08-27 09:17,2025-11-06 14:51,2026-08-27 09:17,2025-04-28 03:54,已退回,王强,1743km,余杭网点,天河网点,重量异常,中
WLYD6524648,北京朝阳区,上海余杭区,赵强,EMP_025,李秀英贸易公司,顺丰速运,服装,零担,1108kg,4.91m³,4253元,1879元,2025-02-20 23:38,2025-04-10 10:23,2025-02-20 23:38,2026-06-08 10:06,派送中,黄伟,1032km,朝阳网点,天河网点,未及时签收,高
WLYD7275258,杭州余杭区,上海余杭区,赵娜,EMP_094,李敏贸易公司,顺丰速运,电子产品,合同物流,2721kg,9.74m³,2537元,2393元,2026-11-09 01:35,2026-09-10 13:55,2026-11-09 01:35,2025-08-19 23:44,派送中,吴静,473km,余杭网点,余杭网点,路线异常,中
WLYD7497189,深圳鼓楼区,广州南山区,杨伟,EMP_086,周娜贸易公司,顺丰速运,电子产品,合同物流,2641kg,7.07m³,2188元,740元,2025-02-16 18:30,2025-05-11 01:32,2025-02-16 18:30,2025-03-01 12:35,已签收,刘洋,205km,南山网点,余杭网点,超时派送,高
WLYD3122411,深圳朝阳区,上海鼓楼区,张丽,EMP_041,陈强贸易公司,顺丰速运,食品,合同物流,4542kg,1.76m³,892元,4124元,2025-08-27 02:02,2025-03-23 03:23,2025-08-27 02:02,2026-08-14 17:41,已退回,陈洋,1034km,天河网点,朝阳网点,货物损坏,中
WLYD6261246,北京天河区,上海鼓楼区,李娜,EMP_091,刘芳贸易公司,顺丰速运,服装,合同物流,3367kg,3.24m³,2907元,873元,2026-04-21 12:02,2026-10-09 22:46,2026-04-21 12:02,2025-06-12 20:05,已退回,杨秀英,1374km,朝阳网点,朝阳网点,货物损坏,中
WLYD5531789,广州朝阳区,杭州朝阳区,李磊,EMP_034,黄磊贸易公司,顺丰速运,服装,零担,1665kg,3.33m³,4949元,4382元,2025-03-03 03:53,2025-11-17 02:30,2025-03-03 03:53,2026-11-14 09:10,已签收,黄伟,1647km,南山网点,南山网点,运费异常,低
WLYD5585329,广州鼓楼区,广州余杭区,刘秀英,EMP_054,王敏贸易公司,顺丰速运,食品,整车,1293kg,1.40m³,4571元,1266元,2026-10-16 08:11,2025-11-02 19:46,2026-10-16 08:11,2026-02-07 23:49,已签收,赵洋,885km,南山网点,南山网点,运费异常,中
WLYD8540925,广州余杭区,广州鼓楼区,陈磊,EMP_040,杨秀英贸易公司,顺丰速运,建材,零担,4260kg,1.36m³,3042元,881元,2025-10-02 04:11,2026-03-25 17:44,2025-10-02 04:11,2025-07-25 07:28,已签收,李秀英,1308km,天河网点,鼓楼网点,超时派送,高
WLYD9285526,北京南山区,上海余杭区,张静,EMP_098,赵洋贸易公司,顺丰速运,化工品,合同物流,2376kg,0.04m³,2254元,3680元,2025-07-18 17:29,2025-05-26 04:04,2025-07-18 17:29,2026-06-06 10:52,已签收,赵秀英,1611km,朝阳网点,南山网点,重量异常,中
WLYD1435125,杭州天河区,上海南山区,吴静,EMP_046,黄洋贸易公司,顺丰速运,食品,整车,1583kg,4.02m³,3869元,4175元,2025-02-20 07:53,2025-12-20 05:26,2025-02-20 07:53,2025-10-23 18:56,已签收,吴强,1669km,余杭网点,鼓楼网点,超时派送,高
WLYD6596401,广州天河区,杭州余杭区,王磊,EMP_099,张丽贸易公司,顺丰速运,食品,合同物流,4638kg,5.91m³,184元,765元,2025-05-05 15:41,2026-02-11 09:13,2025-05-05 15:41,2026-02-02 08:05,派送中,刘磊,473km,浦东网点,天河网点,路线异常,高
WLYD2029192,北京浦东新区,上海南山区,黄娜,EMP_075,周娜贸易公司,顺丰速运,建材,合同物流,1901kg,9.53m³,1431元,3534元,2026-05-23 11:48,2026-02-27 17:32,2026-05-23 11:48,2025-12-20 05:06,已退回,刘静,828km,余杭网点,余杭网点,运费异常,中
WLYD6161745,杭州浦东新区,上海余杭区,赵洋,EMP_024,杨静贸易公司,顺丰速运,化工品,整车,2713kg,1.83m³,2920元,415元,2025-02-24 07:26,2026-09-13 03:24,2025-02-24 07:26,2025-10-23 06:31,已签收,刘娜,239km,朝阳网点,朝阳网点,重量异常,高
WLYD7506056,深圳鼓楼区,上海朝阳区,周强,EMP_058,周磊贸易公司,顺丰速运,食品,整车,213kg,3.58m³,178元,683元,2026-05-07 18:33,2025-07-06 06:01,2026-05-07 18:33,2026-09-11 23:13,已退回,张静,1915km,南山网点,朝阳网点,虚假签收,高
WLYD1353927,广州余杭区,南京鼓楼区,王娜,EMP_075,王磊贸易公司,顺丰速运,化工品,整车,723kg,2.08m³,4175元,3513元,2025-01-10 23:17,2025-02-17 03:11,2025-01-10 23:17,2026-06-26 14:02,派送中,李芳,1074km,天河网点,朝阳网点,虚假签收,高
WLYD2629227,北京浦东新区,上海浦东新区,赵强,EMP_009,刘静贸易公司,顺丰速运,服装,零担,2823kg,5.68m³,3378元,1428元,2026-04-15 23:45,2025-08-26 06:03,2026-04-15 23:45,2026-11-06 03:10,派送中,周敏,1486km,鼓楼网点,南山网点,重量异常,高
WLYD5108970,广州浦东新区,北京天河区,吴静,EMP_080,周洋贸易公司,顺丰速运,建材,零担,4828kg,1.01m³,4801元,4603元,2026-09-03 17:38,2026-03-18 01:30,2026-09-03 17:38,2025-10-22 04:16,派送中,陈伟,1014km,鼓楼网点,朝阳网点,包装破损,中
WLYD1106210,北京南山区,广州朝阳区,李秀英,EMP_076,黄强贸易公司,顺丰速运,建材,零担,3507kg,6.77m³,463元,3789元,2025-10-05 05:25,2025-04-13 11:59,2025-10-05 05:25,2025-12-21 11:02,已签收,陈强,605km,浦东网点,鼓楼网点,超时派送,低
WLYD6163754,南京天河区,南京浦东新区,刘娜,EMP_059,周敏贸易公司,顺丰速运,化工品,零担,2251kg,9.99m³,1842元,4520元,2026-04-19 17:04,2026-02-04 04:18,2026-04-19 17:04,2025-10-02 01:51,已退回,李洋,1033km,天河网点,浦东网点,超时派送,中
WLYD8490854,南京鼓楼区,杭州余杭区,吴磊,EMP_012,王秀英贸易公司,顺丰速运,建材,整车,4983kg,1.77m³,3941元,2680元,2025-05-23 13:50,2025-02-16 16:03,2025-05-23 13:50,2026-01-03 18:28,已退回,李芳,1004km,浦东网点,天河网点,超时派送,中
WLYD4318603,杭州浦东新区,广州浦东新区,赵敏,EMP_032,周洋贸易公司,顺丰速运,食品,整车,2449kg,0.91m³,3145元,3115元,2025-01-14 04:27,2026-05-19 14:46,2025-01-14 04:27,2026-09-22 18:00,已退回,张敏,498km,朝阳网点,朝阳网点,未及时签收,中
WLYD1878533,北京鼓楼区,北京鼓楼区,黄娜,EMP_044,吴丽贸易公司,顺丰速运,食品,整车,1230kg,0.35m³,2682元,3828元,2026-11-28 23:01,2025-06-02 20:33,2026-11-28 23:01,2025-08-25 14:59,已签收,黄芳,125km,朝阳网点,余杭网点,超时派送,中
WLYD8644350,北京南山区,广州南山区,赵娜,EMP_041,吴磊贸易公司,顺丰速运,服装,整车,2005kg,4.56m³,477元,1596元,2026-10-03 11:31,2026-05-18 23:46,2026-10-03 11:31,2026-10-26 13:09,已退回,周芳,1930km,南山网点,天河网点,重量异常,低
WLYD3385177,杭州浦东新区,南京南山区,杨洋,EMP_065,吴磊贸易公司,顺丰速运,食品,合同物流,4814kg,1.12m³,1318元,4529元,2026-02-02 13:28,2026-02-13 13:55,2026-02-02 13:28,2025-12-22 17:15,已退回,陈敏,790km,余杭网点,余杭网点,路线异常,低
WLYD2855762,北京朝阳区,北京余杭区,吴强,EMP_045,陈秀英贸易公司,顺丰速运,电子产品,零担,2176kg,1.03m³,449元,2968元,2025-02-05 07:39,2026-04-25 14:39,2025-02-05 07:39,2025-01-17 01:37,已签收,杨伟,1266km,浦东网点,天河网点,重量异常,高
WLYD2536191,南京鼓楼区,深圳天河区,张静,EMP_096,陈伟贸易公司,顺丰速运,食品,合同物流,2214kg,6.24m³,3211元,3979元,2026-05-04 06:27,2026-08-23 22:56,2026-05-04 06:27,2026-09-03 20:35,已退回,张磊,444km,南山网点,南山网点,未及时签收,高
WLYD6697350,上海浦东新区,杭州南山区,陈芳,EMP_092,周强贸易公司,顺丰速运,电子产品,整车,2057kg,6.82m³,2293元,4547元,2025-07-09 21:07,2026-02-25 23:43,2025-07-09 21:07,2026-02-14 04:28,派送中,王洋,186km,南山网点,余杭网点,路线异常,低
WLYD3018444,深圳南山区,广州浦东新区,杨秀英,EMP_082,张芳贸易公司,顺丰速运,服装,合同物流,3263kg,0.11m³,719元,2076元,2025-07-27 19:37,2025-05-04 17:43,2025-07-27 19:37,2026-03-04 19:53,已退回,黄伟,1792km,朝阳网点,南山网点,未及时签收,低
WLYD1813550,南京朝阳区,杭州余杭区,周磊,EMP_023,王强贸易公司,顺丰速运,服装,合同物流,1700kg,9.30m³,2726元,856元,2025-08-23 14:58,2026-09-01 19:42,2025-08-23 14:58,2026-11-05 01:44,已退回,李娜,676km,余杭网点,朝阳网点,未及时签收,高
WLYD9850448,深圳余杭区,北京余杭区,杨娜,EMP_075,陈芳贸易公司,顺丰速运,服装,合同物流,1103kg,4.58m³,4169元,1879元,2026-11-19 22:33,2026-08-28 10:11,2026-11-19 22:33,2025-12-25 07:25,已签收,张娜,713km,浦东网点,南山网点,未及时签收,低
WLYD9293918,南京鼓楼区,杭州余杭区,杨敏,EMP_034,周磊贸易公司,顺丰速运,化工品,合同物流,3663kg,7.14m³,1462元,1060元,2026-12-08 23:55,2026-06-21 04:14,2026-12-08 23:55,2026-05-15 19:12,派送中,周伟,1757km,朝阳网点,天河网点,超时派送,高
WLYD4993007,杭州鼓楼区,深圳余杭区,黄磊,EMP_035,杨丽贸易公司,顺丰速运,化工品,零担,1627kg,9.34m³,4574元,2969元,2025-03-11 18:50,2025-06-18 06:44,2025-03-11 18:50,2025-11-19 21:44,已签收,吴强,1317km,朝阳网点,浦东网点,虚假签收,中
WLYD2573352,南京朝阳区,广州南山区,吴静,EMP_026,周芳贸易公司,顺丰速运,化工品,零担,2249kg,8.76m³,4156元,1486元,2025-05-15 05:15,2026-02-05 07:12,2025-05-15 05:15,2025-06-22 01:27,已签收,赵娜,503km,余杭网点,天河网点,虚假签收,高
WLYD2987518,广州浦东新区,深圳浦东新区,杨洋,EMP_032,周强贸易公司,顺丰速运,化工品,合同物流,2609kg,0.61m³,720元,3239元,2026-08-09 19:17,2025-12-12 18:39,2026-08-09 19:17,2025-07-27 20:37,已签收,刘秀英,756km,鼓楼网点,浦东网点,包装破损,高
WLYD6316855,杭州南山区,杭州余杭区,黄静,EMP_012,杨秀英贸易公司,顺丰速运,服装,整车,2440kg,8.05m³,4806元,1193元,2026-08-16 00:09,2025-04-01 13:11,2026-08-16 00:09,2026-02-15 10:36,已退回,周芳,427km,鼓楼网点,浦东网点,重量异常,高
WLYD8226649,上海南山区,北京南山区,杨静,EMP_070,王强贸易公司,顺丰速运,服装,整车,2080kg,1.17m³,4469元,4306元,2026-10-01 11:52,2025-03-26 22:38,2026-10-01 11:52,2025-01-14 20:17,已退回,赵强,1209km,余杭网点,余杭网点,运费异常,低
WLYD6763503,南京南山区,杭州南山区,吴强,EMP_004,黄静贸易公司,顺丰速运,建材,零担,2454kg,2.75m³,3845元,1456元,2026-08-25 02:44,2026-05-19 01:12,2026-08-25 02:44,2026-01-16 22:08,已退回,王磊,1586km,天河网点,朝阳网点,货物损坏,中
WLYD7931500,广州南山区,广州鼓楼区,李娜,EMP_034,吴洋贸易公司,顺丰速运,化工品,整车,2683kg,8.22m³,3874元,4294元,2025-10-20 07:58,2025-01-04 11:52,2025-10-20 07:58,2026-09-27 19:01,已签收,李伟,1960km,浦东网点,鼓楼网点,运费异常,低
WLYD6707718,杭州鼓楼区,广州南山区,周秀英,EMP_093,李娜贸易公司,顺丰速运,建材,整车,3136kg,2.34m³,2691元,1717元,2025-09-02 09:22,2025-09-18 12:01,2025-09-02 09:22,2025-07-21 00:00,已签收,周娜,303km,鼓楼网点,浦东网点,虚假签收,高
WLYD6336782,深圳南山区,南京朝阳区,杨秀英,EMP_068,周芳贸易公司,顺丰速运,电子产品,整车,533kg,9.62m³,4474元,2469元,2025-07-13 04:24,2025-03-16 11:26,2025-07-13 04:24,2026-10-27 01:07,派送中,吴强,573km,鼓楼网点,天河网点,未及时签收,高
WLYD3461794,广州南山区,广州鼓楼区,张敏,EMP_019,陈静贸易公司,顺丰速运,化工品,零担,3707kg,5.75m³,3227元,3083元,2026-08-25 03:43,2026-04-21 18:43,2026-08-25 03:43,2026-12-24 02:06,派送中,赵洋,235km,南山网点,余杭网点,重量异常,中
WLYD4047951,广州鼓楼区,深圳浦东新区,杨洋,EMP_034,吴娜贸易公司,顺丰速运,食品,零担,1034kg,6.78m³,1876元,2664元,2026-10-21 08:34,2026-01-03 21:00,2026-10-21 08:34,2026-01-20 04:15,派送中,李强,1619km,朝阳网点,朝阳网点,路线异常,高
WLYD5813018,北京南山区,上海余杭区,张洋,EMP_016,李芳贸易公司,顺丰速运,化工品,合同物流,1020kg,2.92m³,3445元,2691元,2025-05-28 07:00,2025-02-11 15:47,2025-05-28 07:00,2025-10-17 17:03,已签收,赵丽,989km,南山网点,天河网点,包装破损,中
